14,"Getting Started with the APIs","Practice loading the Google Maps JavaScript API and creating a map and styling it.. Show markers and infowindows, load and use various libraries, and create street view panoramas..Learn about the Static Maps and Street View imagery APIs."
14,"Understanding API Services","Learn when to use Web Services vs. Services within the JavaScript API..Get addresses from coordinates, calculate the distances, travel times, and directions between multiple locations..Learn to obtain the elevation or time zone of a point, and looking for places of interest around a location."
14,"Using the APIs in Practice","Learn about monitoring your projects API usage, and securing your identifiers..Familiarize with some terms of use and other important details..Check out where to go with questions, how to find information in our documentation."
15,"Introduction and Efficiency","Introduction to the course, including an explanation of expected Python knowledge..Dive in with the definition of efficiency in a computer science context and the notation commonly used to describe efficiency..Practice describing efficiency from code snippets."
15,"List-Based Collections","Learn the formal definition of a list in computer science, and see definitions and examples of list-based data structures, arrays, linked lists, stacks, and queues..Examine the efficiency of common list methods, and practice using and manipulating these data structures."
15,"Searching and Sorting","Explore how to search and sort with list-based data structures, including binary search and bubble, merge, and quick sort..Examine the efficiency of each and learn how to use recursion in searching and sorting..See and write examples of these methods, as well as more sorting algorithms like insertion sort."
15,"Maps and Hashing","Understand the concepts of sets, maps (dictionaries), and hashing..Examine common problems and approaches to hashing, and practice with examples of hash tables and hash maps."
15,"Trees","Learn the concepts and terminology associated with tree data structures..Investigate common tree types, such as binary search trees, heaps, and self-balancing trees..See examples of tree traversal techniques, examine their efficiency, and practice manipulating trees."
15,"Graphs","Examine the concept of a graph and common terms, coded representations, properties, traversals, and paths..Practice manipulating graphs and determining the efficiency associated with graphs."
15,"Case Studies in Algorithms","Explore famous computer science problems..Shortest Path Problem, the Knapsack Problem, and the Traveling Salesman Problem..Learn about brute-force, greedy, and dynamic programming solutions to such problems."
15,"Technical Interviewing Techniques","Learn about the “algorithm” for answering common technical interviewing questions..See how to clarify and explain practice interview questions using the concepts taught in this course..Get tips for giving interviewers exactly what they’re looking for in an interview."
17,"Making an App Interactive","Harness the power of Java to create an interactive coffee ordering app!.Start by writing simple Java code statements that add interactivity to your app..Use a fundamental concept in programming, a variable, to keep track of all the coffee drinks ordered."
17,"Work with the Android Framework and Control Flow","Take a deeper dive into the Android Framework and build the Just Java coffee ordering app!.See in more detail how Android works behind the scenes and take your first steps towards learning Object Oriented Programming..Add the ability to add toppings to your coffee, and show a detailed order summary when the customer purchases a coffee."
18,"Intents and Activities","Introduce yourself to the Miwok language app and create multiple screens within the app..Build Activities and link them together using Intents and a learn new way of using buttons..Learn and practice how to structure apps with multiple screens for an intuitive user experience"
18,"Data, Loops, and Custom Classes","Begin to harness the real power of object-oriented programming by building your own custom class to store real-life data..Leverage the power of loops when displaying lots of data to a user..Store information in efficient data structures and learn how to efficiently display the data in a scrolling list."
18,"Images and Visual Polish","Gorgeous apps not only delight users, they captivate them to stay - follow us through easy steps to visually polish your app..Learn how to add images to your app and how to refine the layout and user interface..Learn and practice as we guide you through steps all developer utilize when scoping out a new feature."
18,"Audio and Libraries","Make use of the vast Android ecosystem as you learn to play audio in your app using an external library..Leverage the Android's activity lifecycle and audio to create interactive and audible user experiences..Continue to cement the foundations of Android that will help you to continue building dynamic apps."
18,"Navigation Patterns Using Fragments","In this optional lesson, you'll respond to a designer's feedback and re-build the layout of the Miwok app with a slick user interface..Through the process of refactoring an app's user interface, learn about a new navigation pattern that uses fragments and tabs."
19,"JSON Parsing","Discover the power of Web Apis and how they can be used in an Android App..Get practice reading API documentation and learn how to request data from an API using a web browser..Learn the essentials of JSON, a common HTTP Response format."
19,"HTTP Networking","Harness the essentials of the Hypertext Transfer Protocol to exchange data between an Android device and a web server..Learn about the components that are needed to compose an HTTP GET Request..Harness the HttpUrlConnection class to compose a request to the USGS API."
19,"Threads and Parallelism","Learn about how you can use threads to do time consuming work in the background while keeping an Android App's User Interface fast and responsive..Get a comprehensive overview of AsyncTask and Loaders, two important threading options exposed by the Android Framework..Discover how to persist user settings using Shared Preferences."
20,"Using SQLite","Learn how to store app data in an SQLite database - a widely used industry data structure..Efficiently structure your app data tables..Learn the basics of SQL and practice reading, modifying, and deleting data from a database."
20,"Adding SQLite to Your App","Hook up a database to your Android app..Setup a Contract class..Read and write information from the database and handle a Cursor object."
20,"Building a ContentProvider","Learn how basics of a ContentProvider and add one to your app..Learn to design URIs for your ContentProvider..Implement the required functions to use your ContentProvider."
20,"Using a CursorAdapter and CursorLoader","Learn how automatically load data using a CursorAdapter and CursorLoader into a scrollable list..Allow users to select and edit information they've saved off..Polish the menus and layouts in your app."
21,"The Analytical Problem Solving Framework","Learn a framework for structured problem solving..Get introduced to predictive analysis..See examples of a variety of business problems."
21,"Selecting an Analytical Methodology","Learn to select the correct analytical methodology..Get introduced to the Methodogy Map..Learn to recognize numeric vs. non-numeric outcomes."
21,"Linear Regression","Apply the Problem Solving Framework to a business problem..Learn how to use simple linear regression models..Use categorical variables in linear regression."
22,"Understanding Data","Learn to identify structured, unstructured, and semistructured data..Get an introduction to the most common data types..Learn about the most common sources of data."
22,"Data Issues","Learn to clean dirty data..Learn to how to adjust for missing data..Be able to identify and correct outliers."
22,"Data Formatting","Learn about the importance of data format for analysis..Transpose, aggregate, and cross tabulate data..Learn how to use parse data."
22,"Data Blending","Learn how to merge data from multiple sources..Learn to use common data blending techniques..Explore fuzzy matching and spatial analysis"
23,"Introduction to Classification Modeling","Learn the key terminology used in predictive modeling..Learn the how to choose variables to use in a predictive model..Practice preparing a dataset for modeling."
23,"Binary Classification Models","Learn how to use models to predict data with two possible outcomes..Use logistic regression and decision tree models..Learn how to compare models and interpret results."
23,"Non-Binary Classification Models","Learn how to use models to predict categorical data with three or more possible outcomes..Learn how to use decision tree, forest, and boosted models..Compare models and interpret results."
25,"Creating Project Sunshine","Learn how to create and run a simple Android app.Create simple layouts for Android.Learn about the Android Studio IDE"
25,"Loading Data from the Internet","Connect to the Internet and communicate with web APIs.Learn about threading and how to make requests without slowing down your app.Learn how to add menus to your app"
25,"RecyclerView","Learn about the components that convert a list of data into visual UI elements"
25,"Intents","Learn the difference between Explicit and Implicit Intents.Learn how to navigate inside your apps using intents.Learn how to create Intents that apps outside your control can respond to"
25,"The Application Lifecycle","Understand the phases of the Android application lifecycle.Learn how to persist data between orientation and other changes"
25,"Preferences","Allow users to customize some aspects of your app.Consider when to omit or add a preference"
25,"Creating SQLite Databases","Implement a SQLite database.Make queries to and modify that database in your app"
25,"Introduction to Content Providers","Learn how Content Providers provide an interface to share data.Consume data from an already existing ContentProvider"
25,"Building a Content Provider","Learn to build a Content Provider"
25,"Background Tasks","Coming soon!"
25,"Completing the UI","Coming soon!"
25,"Polishing the UI","Coming soon!"
26,"Creating Project Sunshine","Learn how to create and run a simple Android app.Create simple layouts for Android.Learn about the Android Studio IDE"
26,"Loading Data from the Internet","Connect to the Internet and communicate with web APIs.Learn about threading and how to make requests without slowing down your app.Learn how to add menus to your app"
26,"RecyclerView","Learn about the components that convert a list of data into visual UI elements"
26,"Intents","Learn the difference between Explicit and Implicit Intents.Learn how to navigate inside your apps using intents.Learn how to create Intents that apps outside your control can respond to"
26,"The Application Lifecycle","Understand the phases of the Android application lifecycle.Learn how to persist data between orientation and other changes"
26,"Preferences","Allow users to customize some aspects of your app.Consider when to omit or add a preference"
26,"Creating SQLite Databases","Implement a SQLite database.Make queries to and modify that database in your app"
26,"Introduction to Content Providers","Learn how Content Providers provide an interface to share data.Consume data from an already existing ContentProvider"
26,"Building a Content Provider","Learn to build a Content Provider"
26,"Background Tasks","Coming soon!"
26,"Completing the UI","Coming soon!"
26,"Polishing the UI","Coming soon!"
27,"How to Assess Product Quality","Overview of product quality standards, and an introduction to the goals and structure of this course."
27,"Integration Points and Error Cases","Learn how to make apps work while offline..Validating user input..Learn how to deal with error cases."
27,"Accessibility and localization.","How to make your application accessible (a11y)..Using localization (l10n) in your application ..Supporting left to right (LTR) languages."
27,"How to Use External Libraries.","How to integrate third-party libraries in your Android app..Use libraries to handle images..Allow users to personalize their Sunshine experience with custom icons."
27,"Google Cloud Messaging.","Learn how to Implement a message receiver..Learn how to send messages to your app using the Google Cloud Messaging interface."
27,"Material Design","Understand how to use color in Material Design ..How to use Recyclerview..Apply material design principles to Sunshine's activity transitions, keylines and layouts."
27,"Building a Total Experience","Build and implement resizable widgets and immersive wallpaper images..Working with Muzei."
27,"Performance","Learn how to avoid overdraw..Use profiling tools in Android Studio to identify performance leaks."
28,"Gradle Fundamentals","Understand Gradle's capabilities and role in Java and Android builds..Learn the Gradle task model, and put together your first build!.Explore the Gardle build lifecycle."
28,"Gradle for Java","Understand the Gradle plugin system, and explore the Java plugin..Build and test Java projects..Learn to use Gradle for Dependency management."
28,"Gradle for Android","Use Gradle in Android Studio..Explore the features of the Gradle Android plugin and build process..Build an Android app with free and paid product flavors."
28,"Advanced Android Builds","Create Android libraries and apps that depend on them..Use advanced features of the Android Gradle Plugin to configure signing, obfuscation, and optimization..Configure Android testing."
28,"Final Project","Build and test a joke telling app with a free ad-supported version and a paid version..As a bonus, deploy a Google Cloud Messaging backend to supply the jokes."
29,"Introduction","Overview of Google Play services and an introduction to the goals and structure of this series."
29,"Getting Started","Learn about Location Services and Fused Location Provider..Create an app to get the current location."
29,"Going Deeper","Learn about continuous updates to your app..Extend this to understand different user activities."
29,"Advanced Topics: Geofencing","Learn about geofencing, how it works, and how to build and monitor them."
30,"Introduction","Overview of Google Play services and an introduction to the goals and structure of this series."
30,"Getting Started with Analytics","Get a Google Analytics account ID, and update your app to track all screen views."
30,"Beyond Auto Activity Tracking","Send tracking data for events, and track how your users move through the shopping process."
30,"Intro to Tag Manager","Use Tag Manager to update values in an app without having to redeploy any code."
30,"Integrating Google Analytics and Tag Manager","Use Tag Manager to organize the Analytics tags in your app."
31,"Introduction","Overview of Google Play services and an introduction to the goals and structure of this series."
31,"Learn AdMob","Introduction to models to make money from an app and Google AdMob..Create code to display Banner and Interstitial ads in an app..How to go from a test app to an app that shows real ads."
32,"Getting Started","Add maps to your app and understand the different map types..Learn how to use the Google Developers console to get an API key..Create a map that flies around the world!"
32,"Going Deeper","Understand the Camera, and how it's used to project a map.. Learn about zooming to different locations, and changing the camera tilt and direction..Learn about Markers, and how to place them on a map, as well as drawing shapes like lines, polylines and circles."
32,"Advanced Topics: Street View","Learn about StreetView and how to look at various locations around the globe as if you were there..Build a virtual hike down the Grand Canyon, and learn how to modify this to make it perfect for your app."
33,"Welcome","Discover why performance is so critical to the success of your Android App..Learn how to profile your code..Employ a few best practices to help resolve common issues in the areas of rendering, memory, compute, and battery."
33,"Render","How to identify and diagnose the key performance problems that come with drawing to the screen."
33,"Compute and Memory","Discover the tools in android studio that will help you detect and resolve memory leaks and memory churn..Use systrace to evaluate and improve the performance of functions."
33,"Battery","Discover tools provided with Android Studio that'll help you minimize the battery use of your App..Learn about classes in the Android Framework that will help your app minimize its impact on a device's battery usage."
34,"Android Design Fundamentals","Understand and apply the fundamentals of Android design to your app..Understand app structures, common navigation patterns and themes."
34,"Surfaces","Understand how to use surfaces to structure the hierarchy in an app..Learn how use surfaces to control interaction of elements in an app."
34,"Bold Graphic Design","Learn how to effectively use imagery and fonts..Learn how to effectively use color..Learn how to apply themes and styles."
34,"Meaningful Motion.","How to properly time an animation..Transition between application states..Learn how to create orderly animations."
34,"Adaptive Design.","Learn how to implement your designs on many screen sizes..Learn what considerations to make when adapting a design."
35,"Introduction","Overview of the course structure and goals.Introduction to the sample app."
35,"Wearables","Notification sync.Watch app.Watch face"
36,"Introduction","Overview of the course structure and goals.Introduction to the sample app."
36,"Living Room","Google Cast for ChromeCast and TV.Going deeper with Android TV.Gaming with Android TV"
37,"Introduction","Overview of the course structure and goals.Introduction to the sample app."
37,"Auto","Messaging app.Media app.Extend and test your apps for Auto."
38,"Getting started with Firebase","Adding Firebase to your app..Reading and writing data..Why choose Firebase."
38,"Advanced Reading and Writing with Firebase","Debugging..Leveraging FirebaseUI..Best practices for reading and writing data."
38,"Authentication","Authenticate with custom email and password or with Google..How to store user data..Login security and password resets."
38,"Effective Database Design","Sorting and basic filtering..Many to many relationships and de-normalizing data."
38,"Offline Access and Firebase Security","Offline access..Securing your data..Data validation."
39,"Set Your Goals","Write your mission and vision statements.Set your milestones.Decide on the steps you plan to take to reach these goals."
39,"Define the Skills You Need","Prepare to start building your team by analyzing your goals.Evaluate your needs, and identify your skill gaps."
39,"Build Your Team","Find co-founders and mentors.Get started with freelancers and employees"
39,"Get Capital for Your Business","Bootstrapping, Angel Investors, Venture Capitalists.Think about incubators, and accelerators as options for financing your business."
39,"Create Your Pitch Deck","Build your story.Prepare a pitch deck you can use to gain customers or secure investment."
40,"Ideation & Validation","Develop, validate and refine your ideas to build for a product/market fit..Case studies and interviews with founders, product experts, and investors..Learn how to efficiently conduct user research and build an entrepreneurial mindset."
40,"UI/UX","Go beyond visual style to understand material design, building for accessibility, user flows and personas..Learn about how startups make design decisions and learn from senior designers at Google..Analyze the user experience of another product and start documenting a user flow for your own product."
40,"Design Sprint","Created by Google Ventures, the Design Sprint Process is widely used by teams seeking to design, prototype, and test their ideas with customers..Google’s leading Design Sprint Master will help you go through all the steps required to validate your ideas and build mockups of your product..Get a first-hand look at how design sprints happen at Udacity and how you can design & conduct your own."
40,"Key Metrics","Learn to identify common metrics for websites and apps relating to traffic, customer satisfaction, and engagement..Learn tools that can be used to monitor metrics and examples from startups on what metrics not to measure..Identify actionable metrics that will work best for your own product."
41,"Introducing Monetization","A monetization strategy is comparable to the product/market fit for a new idea..Start thinking about profitability from the beginning..Learn about monetization models, profit margins, KPIs, and customer acquisition and retention."
41,"Monetization Strategies","Monetization strategies for freemium, subscription, eCommerce, and Ads across web, games, and native apps..Learn about the tools startups use to implement these strategies and design a plan to execute a model for your own product."
41,"Implement a Monetization Plan","Choose and tailor a monetization strategy for your product and learn how to set up tracking to monitor its effectiveness..Use Google Analytics and other tracking tools to get behavior reports, crashes, exceptions, and app speed."
41,"Optimize Your Model","Learn how to react and re-engage users if your monetization strategies don’t originally work..See how product and monetization are closely tied and how the Hooked Model can be used to optimize your strategy."
42,"Low-Fidelity Prototypes & User Research","Learn the fundamentals of prototyping..How to make paper prototypes and present them to users."
42,"Medium-Fidelity Prototypes with inVision","Learn how to incorporate feedback..Make interactive prototypes using InVision..How to conduct further user research remotely."
42,"Lifelong Prototyping","Learn how to refine your prototypes further..How to involve prototyping and user research in new app features..How to present your prototypes and research."
43,"Understand the User","Learn to define and create a targeted marketing plan for specific user segments..Analyze your competitive advantages and disadvantages through market segmentation and learn how to position your product..Conduct competitive analysis in order to create your unique value proposition."
43,"Pre-launch","Create marketing goals in order to focus your marketing plan..Start thinking about your distribution plan and consider what keywords work best for your goals..Learn about the beta-testing community, and prepare your landing pages."
43,"Launch!","Prepare, launch, execute, and gain your first users..Outline a go-to-market strategy and gain the know-how to execute on it..Learn SEO (search engine optimization) skills to get your first 1000 users."
43,"Customer Acquisition","Learn about paid and free customer acquisition methods from AdWords..An introduction to social marketing, email marketing and more."
43,"Measurement Fundamentals","Learn to use data to iterate and optimize your marketing plan."
44,"Intro to Cross Platform Game Development","LibGDX allows you write a game and deploy it to Android and iOS devices, desktop computers and browsers..Explore the functionality that the LibGDX game framework provides."
44,"Intro to LibGDX","Import and your first LibGDX project..Run it on your computer and Android device..Learn the basic structure of a LibGDX game."
44,"Drawing","Use the LibGDX ShapeRenderer object to draw some simple shapes (and some not-so-simple fractals)."
44,"Cameras and Viewports","Use a camera to focus the player's field of view on a portion of a larger game world..Learn to use viewports to simplify camera management."
44,"Movement","Create simple animations and physics effects by updating the game world over time..Learn to break up a complex game into separate screens."
44,"User Input","Handle key presses, touches, and accelerometer input."
44,"Growing Icicles","Create the core of Icicles, including player controls."
44,"Polishing Icicles","Add scoring, a head-up display, and a difficulty select screen."
45,"Sprites and Animations","Learn to draw using predefined sprites, animations and stretchable nine-patches..Learn to pack many sprites into a texture atlas that can be efficiently loaded."
45,"The Player","Create GigaGal and give her the ability to move and jump..Add separate sprites for facing left, facing right, standing, and jumping..Add an animation for GigaGal's walk."
45,"The Platforms","Add the platforms to GigaGal and allow GigaGal to jump on them and fall off again."
45,"The Camera","Set up the camera to follow GigaGal around the level."
45,"The Enemies","Add GigaGal's evil robot adversaries."
45,"The Bullets","Let GigaGal fight back with her arm cannon and create awesome explosions."
45,"Level Loading","Add the ability to load level data created in an external tool."
45,"Adding the HUD and onscreen controls","Add a score display, lives counter, and on screen controls for mobile players."
46,"Engagement","Learn the best design strategies to build an addictive game..Designing game difficulty, and including competition and social networks to get players more involved..Inspiring engagement is critical for a game to produce revenue in the long-term."
46,"Monetization Models","Monetization strategies for both paid games and free-to-download “freemium” games..A comparison of both premium and freemium models..How to effectively implement ads and in-app purchases."
46,"Best Publishing Practices","Get useful player feedback, and how to test out versions of your game with A/B testing..Design strategies for choosing what will appear in the app store—like icons and screenshots..Get your game to stand out against the competition."
47,"HTTP’s Request Response Cycle","Learn about HTTP's request and response cycle..What makes up an HTTP requests and response?.What originates an HTTP request and how do they relate to one another?"
47,"HTTP/1","Find out how HTTP/1 is used in practice..Map the requests and response  types from lesson 1 into HTTP verbs and response codes & headers."
47,"HTTPS","How does HTTPS differ from HTTP?.TLS, cryptography, and Certificate Authorities..HTTP Mixed Content issues."
47,"HTTP/2","Learn how HTTP/2 improves on and extends HTTP/1..Look at optimizations for HTTP/1 that are now anti-patterns in HTTP/2."
47,"Security","Look at and resolve common security problems like CORS, CSRF, XSS, and more!"
48,"Building a Single Page Application","The history of Single Page Applications..How to make a Single Page Applications..Learn the components of the most common frameworks."
48,"Examine A Framework's Source.","Discover constructor functions..An introduction to Underscore's template function..Backbone events and routing."
48,"Angular","Build your first Angular application..Learn Angular's Views, Controllers, Directives, and more!.Routing in Angular using the UI-Router module."
48,"Ember","Build your first Ember application..App generation and scaffolding with Ember-CLI..Learn Ember's Templates, Services, Components, and more!"
49,"The Benefits of Offline First","The benefits of developing offline-first applications..Understanding Lie-Fi."
49,"Introducing the Service Worker","How to use Service Workers..Understanding the Service Worker Lifecycle..How to use Service Worker DevTools."
49,"IndexedDB and Caching","What is IndexedDB?.How to cache assets using IndexedDB?"
50,"Creating Promises","Promises syntax and scope..Simplifying common, useful methods with Promises..Basic error handling."
50,"Chaining Promises","Creating sequences of async work manually..Advanced error handling..Techniques for generating sequences of async work with array methods."
51,"Efficient Inputs Part 1","Introduction to the principles of useful forms with Ido Green..How to research HTML5 input types..How to build a datalist input."
51,"Efficient Inputs Part 2","Exercise best practices for implementing input labels and types with many sample inputs..How to validate user input with HTML5 attributes..How to validate user input using JavaScript and the Constraint Validation API."
51,"Fast Forms","Explore techniques for making forms faster and easier for users..Practice empathy for your users in order to simplify and expedite forms..Apply everything you've learned so far by designing and building an e-commerce checkout."
51,"Touch Support","Explore best practices for responding to and designing user interactions on mobile..Use touch events to build a mobile-ready touch slider..Introduction to the final project - an event planner app!"
52,"Introduction","Being pragmatic vs. idealistic when choosing tools..Identify the real value of the tool..Keep things modular and replaceable."
52," Productive Editing","Set up your editor..Install Sublime Text..Install Plugins."
52,"Powerful Builds","Getting started with Gulp..Install gulp plugins..Create gulp tasks."
52,"Expressive Live Editing","Why live edit?.Approaches for live editing..Testing with Browser Sync."
52,"How to Prevent Disasters","Code correction with linting..ESLint..Unit testing in Gulp."
52,"Awesome Optimizations","CSS concatenation..JS concatenation and minification..Sourcemaps."
53,"What's and Why's of APIs","Learn about the basics of APIs and why they are important..How to choose the appropriate technologies for implementing a modern web API."
53,"Accessing Published APIs","Explore published APIs from Foursquare and Google Maps..See how these companies implement their API endpoints..Now leverage some of this information for our own use!"
53,"Creating your own API Endpoints","Use Flask to build your own web server..Setup API endpoints that follow the constraints to qualify as a RESTful API."
53,"Securing your API","Learn about API security..How to add OAuth login and token-based authentication..Learn to Rate limit your API endpoints."
53,"Writing Developer-Friendly APIs","Learn some API best practices using real-world examples..Take on the final project!"
54,"Writing READMEs","Learn what documentation is and who it's for..Learn what parts make up a great README file..Use Markdown to write a README file quickly and easily."
55,"Introduction to DevOps","What is DevOps..Why DevOps is needed..CAMS (Culture, Automation, Measurement, Sharing) principles."
55,"Dev and Ops","The different perspectives of Dev and Ops.Different perspectives can cause conflict..How to solve the problems with different approach and some tools."
55,"Continuous Integration and Delivery","Tools that enable Continuous Integration and Delivery workflows.Measurement and the ways it helps IT and business.Tools that help with measurement"
56,"From Design to Code","Diligently employ a code/test/refine strategy..Precisely translate initial design documents into static web pages..Investigate the Document Object Model (DOM)."
56,"Your Own Framework","How to create and personalize your own multi-platform, responsive CSS framework..Publish your professional portfolio projects to the web."
56," Learning and Using Bootstrap","Investigate an existing professional CSS framework.Build a website using responsive design principles while maintaining code readability."
57,"Write your First Computer Program","Sergey Brin's advice on learning to program..Get started on your first Python program..How to create and use variables in Python."
57,"Write Programs to do Repeating Work","Introducing procedures..Sum procedure with a return statement..Equality comparisons and more."
57,"How to Manage Data","Nested lists..A list of strings..Aliasing and more."
57,"Responding to Queries","Data structures..Lookup..Building the Web Index and more."
57,"How Programs Run","Measuring speed..Spin loop..Index size vs. time and more."
